danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,,
0,0,31,17,0,0,52,0,0,180.1893426,danhong,,
6,32,50,3,0,10,0,0,0,184.6780285,danhong,,
1,35,43,19,0,1,2,0,0,152.7182548,danhong,,
49,31,15,3,0,0,0,0,3,168.3316841,danhong,,
3,8,14,8,0,66,0,0,0,62.26431438,danhong,,
12,34,44,9,0,1,0,0,0,171.7364064,danhong,,
0,0,21,5,0,0,74,0,0,153.4286826,danhong,,
0,0,19,31,0,0,50,0,0,181.9859704,danhong,,
31,53,4,0,0,12,0,0,0,116.7801508,danhong,,
29,27,17,3,0,18,6,0,0,96.7999842,danhong,,
2,43,41,11,0,2,0,0,0,137.4032527,danhong,,
0,0,13,20,0,0,67,0,0,155.4516642,danhong,,
58,38,4,0,0,0,0,0,0,160.8260841,danhong,,
0,0,44,21,0,0,34,0,0,156.0468658,danhong,,
0,1,47,9,0,0,44,0,0,144.5061922,danhong,,
0,0,5,4,0,4,87,0,0,123.4457888,danhong,,
0,13,28,3,0,19,37,0,0,69.79139142,danhong,,
1,18,33,5,0,5,37,0,0,98.44078637,danhong,,
23,46,25,1,0,0,5,0,0,140.1839077,danhong,,
54,36,7,3,0,1,0,0,0,176.6853341,danhong,,
0,0,2,36,0,0,62,0,0,159.7386049,danhong,,
27,65,7,0,0,1,1,0,0,178.0206186,danhong,,
34,30,20,4,0,6,7,0,0,154.3725536,danhong,,
0,0,20,16,0,0,63,0,0,164.659614,danhong,,
0,0,9,14,0,0,77,0,0,160.7305946,danhong,,
0,0,14,17,0,0,69,0,0,159.0434261,danhong,,
0,7,40,29,0,11,14,0,0,127.8749602,danhong,,
0,3,36,21,0,0,40,0,0,145.5723061,danhong,,
20,47,2,0,0,0,0,5,26,170.3623128,danhong,,
57,28,13,2,0,0,0,0,0,189.8030788,danhong,,
13,44,37,3,0,3,1,0,0,156.9609957,danhong,,
16,56,27,0,0,0,0,0,0,134.5808875,danhong,,
22,41,16,1,0,20,1,0,0,126.0362204,danhong,,
38,26,16,8,0,11,0,0,0,132.0478101,danhong,,
0,0,1,16,0,0,82,0,0,153.1001506,danhong,,
0,0,3,6,0,0,91,0,0,158.6074718,danhong,,
56,33,8,0,0,3,0,0,0,147.3757636,danhong,,
0,0,9,16,0,0,75,0,0,158.3877423,danhong,,
0,0,3,32,0,0,64,0,0,166.595753,danhong,,
0,8,71,14,0,2,4,0,0,175.439887,danhong,,
23,57,19,1,0,0,0,0,0,167.2901724,danhong,,
10,42,33,7,0,9,0,0,0,155.2195959,danhong,,
47,38,12,3,0,0,0,0,0,178.7742467,danhong,,
0,0,14,24,0,0,62,0,0,175.3592214,danhong,,
0,15,76,9,0,0,0,0,0,178.6124989,danhong,,
3,6,42,49,0,0,0,0,0,212.5994166,danhong,,
0,0,13,1,0,0,86,0,0,172.8836484,danhong,,
6,43,39,9,0,4,0,0,0,149.2865422,danhong,,
0,14,39,38,0,0,9,0,0,147.4597746,danhong,,
0,5,56,33,0,2,3,0,0,178.4019212,danhong,,
34,42,18,4,0,1,2,0,0,136.7244608,danhong,,
0,0,35,52,0,3,10,0,0,130.1684922,danhong,,
28,19,1,0,0,8,0,4,41,131.2191564,danhong,,
0,0,3,18,0,0,79,0,0,166.9147597,danhong,,
